date,q
2019-02-01 00:00,0.00
2019-02-01 01:00,0.00
2019-02-01 02:00,0.00
2019-02-01 03:00,0.00
2019-02-01 04:00,0.00
2019-02-01 05:00,0.00
2019-02-01 06:00,0.01
2019-02-01 07:00,0.01
2019-02-01 08:00,0.01
2019-02-01 09:00,0.01
2019-02-01 10:00,0.02
2019-02-01 11:00,0.03
2019-02-01 12:00,0.04
2019-02-01 13:00,0.05
2019-02-01 14:00,0.06
2019-02-01 15:00,0.08
2019-02-01 16:00,0.09
2019-02-01 17:00,0.11
2019-02-01 18:00,0.13
2019-02-01 19:00,0.16
2019-02-01 20:00,0.19
2019-02-01 21:00,0.21
2019-02-01 22:00,0.25
2019-02-01 23:00,0.28
2019-02-02 00:00,0.32
2019-02-02 01:00,0.36
2019-02-02 02:00,0.40
2019-02-02 03:00,0.45
2019-02-02 04:00,0.50
2019-02-02 05:00,0.55
2019-02-02 06:00,0.60
2019-02-02 07:00,0.66
2019-02-02 08:00,0.73
2019-02-02 09:00,0.80
2019-02-02 10:00,0.87
2019-02-02 11:00,0.94
2019-02-02 12:00,1.02
2019-02-02 13:00,1.10
2019-02-02 14:00,1.17
2019-02-02 15:00,1.25
2019-02-02 16:00,1.32
2019-02-02 17:00,1.39
2019-02-02 18:00,1.45
2019-02-02 19:00,1.51
2019-02-02 20:00,1.57
2019-02-02 21:00,1.62
2019-02-02 22:00,1.68
2019-02-02 23:00,1.73
2019-02-03 00:00,1.78
2019-02-03 01:00,1.83
2019-02-03 02:00,1.89
2019-02-03 03:00,1.95
2019-02-03 04:00,2.01
2019-02-03 05:00,2.07
2019-02-03 06:00,2.14
2019-02-03 07:00,2.21
2019-02-03 08:00,2.29
2019-02-03 09:00,2.36
2019-02-03 10:00,2.44
2019-02-03 11:00,2.52
2019-02-03 12:00,2.59
2019-02-03 13:00,2.67
2019-02-03 14:00,2.74
2019-02-03 15:00,2.82
2019-02-03 16:00,2.89
2019-02-03 17:00,2.96
2019-02-03 18:00,3.03
2019-02-03 19:00,3.10
2019-02-03 20:00,3.17
2019-02-03 21:00,3.24
2019-02-03 22:00,3.31
2019-02-03 23:00,3.38
2019-02-04 00:00,3.45
2019-02-04 01:00,3.52
2019-02-04 02:00,3.60
2019-02-04 03:00,3.67
2019-02-04 04:00,3.75
2019-02-04 05:00,3.84
2019-02-04 06:00,3.93
2019-02-04 07:00,4.03
2019-02-04 08:00,4.13
2019-02-04 09:00,4.25
2019-02-04 10:00,4.38
2019-02-04 11:00,4.52
2019-02-04 12:00,4.67
2019-02-04 13:00,4.83
2019-02-04 14:00,5.02
2019-02-04 15:00,5.21
2019-02-04 16:00,5.43
2019-02-04 17:00,5.65
2019-02-04 18:00,5.90
2019-02-04 19:00,6.15
2019-02-04 20:00,6.42
2019-02-04 21:00,6.69
2019-02-04 22:00,6.97
2019-02-04 23:00,7.25
2019-02-05 00:00,7.53
2019-02-05 01:00,7.80
2019-02-05 02:00,8.06
2019-02-05 03:00,8.31
2019-02-05 04:00,8.55
2019-02-05 05:00,8.79
2019-02-05 06:00,9.03
2019-02-05 07:00,9.27
2019-02-05 08:00,9.52
2019-02-05 09:00,9.79
2019-02-05 10:00,10.09
2019-02-05 11:00,10.42
2019-02-05 12:00,10.78
2019-02-05 13:00,11.18
2019-02-05 14:00,11.62
2019-02-05 15:00,12.10
2019-02-05 16:00,12.60
2019-02-05 17:00,13.11
2019-02-05 18:00,13.63
2019-02-05 19:00,14.15
2019-02-05 20:00,14.66
2019-02-05 21:00,15.15
2019-02-05 22:00,15.62
2019-02-05 23:00,16.07
2019-02-06 00:00,16.50
2019-02-06 01:00,16.92
2019-02-06 02:00,17.32
2019-02-06 03:00,17.71
2019-02-06 04:00,18.08
2019-02-06 05:00,18.45
2019-02-06 06:00,18.80
2019-02-06 07:00,19.15
2019-02-06 08:00,19.49
2019-02-06 09:00,19.82
2019-02-06 10:00,20.15
2019-02-06 11:00,20.46
2019-02-06 12:00,20.78
2019-02-06 13:00,21.09
2019-02-06 14:00,21.39
2019-02-06 15:00,21.70
2019-02-06 16:00,21.99
2019-02-06 17:00,22.29
2019-02-06 18:00,22.59
2019-02-06 19:00,22.89
2019-02-06 20:00,23.18
2019-02-06 21:00,23.48
2019-02-06 22:00,23.78
2019-02-06 23:00,24.09
2019-02-07 00:00,24.40
2019-02-07 01:00,24.70
2019-02-07 02:00,25.02
2019-02-07 03:00,25.33
2019-02-07 04:00,25.64
2019-02-07 05:00,25.95
2019-02-07 06:00,26.26
2019-02-07 07:00,26.57
2019-02-07 08:00,26.88
2019-02-07 09:00,27.18
2019-02-07 10:00,27.49
2019-02-07 11:00,27.80
2019-02-07 12:00,28.12
2019-02-07 13:00,28.43
2019-02-07 14:00,28.75
2019-02-07 15:00,29.07
2019-02-07 16:00,29.40
2019-02-07 17:00,29.72
2019-02-07 18:00,30.06
2019-02-07 19:00,30.39
2019-02-07 20:00,30.73
2019-02-07 21:00,31.07
2019-02-07 22:00,31.40
2019-02-07 23:00,31.73
2019-02-08 00:00,32.06
2019-02-08 01:00,32.39
2019-02-08 02:00,32.71
2019-02-08 03:00,33.03
2019-02-08 04:00,33.34
2019-02-08 05:00,33.65
2019-02-08 06:00,33.96
2019-02-08 07:00,34.26
2019-02-08 08:00,34.56
2019-02-08 09:00,34.86
2019-02-08 10:00,35.16
2019-02-08 11:00,35.45
2019-02-08 12:00,35.73
2019-02-08 13:00,36.02
2019-02-08 14:00,36.30
2019-02-08 15:00,36.59
2019-02-08 16:00,36.87
2019-02-08 17:00,37.15
2019-02-08 18:00,37.43
2019-02-08 19:00,37.70
2019-02-08 20:00,37.98
2019-02-08 21:00,38.26
2019-02-08 22:00,38.53
2019-02-08 23:00,38.80
2019-02-09 00:00,39.08
2019-02-09 01:00,39.35
2019-02-09 02:00,39.62
2019-02-09 03:00,39.89
2019-02-09 04:00,40.16
2019-02-09 05:00,40.43
2019-02-09 06:00,40.70
2019-02-09 07:00,40.97
2019-02-09 08:00,41.25
2019-02-09 09:00,41.53
2019-02-09 10:00,41.81
2019-02-09 11:00,42.10
2019-02-09 12:00,42.40
2019-02-09 13:00,42.70
2019-02-09 14:00,43.01
2019-02-09 15:00,43.33
2019-02-09 16:00,43.65
2019-02-09 17:00,43.98
2019-02-09 18:00,44.32
2019-02-09 19:00,44.67
2019-02-09 20:00,45.03
2019-02-09 21:00,45.39
2019-02-09 22:00,45.76
2019-02-09 23:00,46.15
2019-02-10 00:00,46.54
2019-02-10 01:00,46.95
2019-02-10 02:00,47.37
2019-02-10 03:00,47.80
2019-02-10 04:00,48.24
2019-02-10 05:00,48.70
2019-02-10 06:00,49.16
2019-02-10 07:00,49.64
2019-02-10 08:00,50.12
2019-02-10 09:00,50.61
2019-02-10 10:00,51.10
2019-02-10 11:00,51.58
2019-02-10 12:00,52.06
2019-02-10 13:00,52.54
2019-02-10 14:00,53.00
2019-02-10 15:00,53.44
2019-02-10 16:00,53.87
2019-02-10 17:00,54.28
2019-02-10 18:00,54.68
2019-02-10 19:00,55.05
2019-02-10 20:00,55.40
2019-02-10 21:00,55.74
2019-02-10 22:00,56.05
2019-02-10 23:00,56.34
2019-02-11 00:00,56.61
2019-02-11 01:00,56.86
2019-02-11 02:00,57.10
2019-02-11 03:00,57.32
2019-02-11 04:00,57.53
2019-02-11 05:00,57.72
2019-02-11 06:00,57.90
2019-02-11 07:00,58.07
2019-02-11 08:00,58.24
2019-02-11 09:00,58.39
2019-02-11 10:00,58.53
2019-02-11 11:00,58.67
2019-02-11 12:00,58.80
2019-02-11 13:00,58.93
2019-02-11 14:00,59.05
2019-02-11 15:00,59.17
2019-02-11 16:00,59.28
2019-02-11 17:00,59.39
2019-02-11 18:00,59.50
2019-02-11 19:00,59.61
2019-02-11 20:00,59.71
2019-02-11 21:00,59.81
2019-02-11 22:00,59.90
2019-02-11 23:00,59.99
2019-02-12 00:00,60.08
2019-02-12 01:00,60.17
2019-02-12 02:00,60.25
2019-02-12 03:00,60.32
2019-02-12 04:00,60.40
2019-02-12 05:00,60.47
2019-02-12 06:00,60.54
2019-02-12 07:00,60.61
2019-02-12 08:00,60.67
2019-02-12 09:00,60.74
2019-02-12 10:00,60.80
2019-02-12 11:00,60.87
2019-02-12 12:00,60.93
2019-02-12 13:00,61.00
2019-02-12 14:00,61.06
2019-02-12 15:00,61.13
2019-02-12 16:00,61.19
2019-02-12 17:00,61.26
2019-02-12 18:00,61.32
2019-02-12 19:00,61.39
2019-02-12 20:00,61.46
2019-02-12 21:00,61.52
2019-02-12 22:00,61.59
2019-02-12 23:00,61.66
2019-02-13 00:00,61.72
2019-02-13 01:00,61.79
2019-02-13 02:00,61.85
2019-02-13 03:00,61.91
2019-02-13 04:00,61.98
2019-02-13 05:00,62.04
2019-02-13 06:00,62.10
2019-02-13 07:00,62.16
2019-02-13 08:00,62.23
2019-02-13 09:00,62.29
2019-02-13 10:00,62.35
2019-02-13 11:00,62.41
2019-02-13 12:00,62.47
